County,Station Number,name,Height(m),Easting,Northing,Latitude,Longitude,Open Year,Close Year
Antrim,5880,LH_RATHLIN_WEST,10,309200,451800,551803,61649,2000,
Carlow,4415,TULLOW (Waterworks),76,284700,173400,524819,64435,1985,
Carlow,2414,BORRIS G.S.,85,272400,150700,523610,65550,1944,1991
Carlow,1214,CARLOW (SUGAR FACTORY),58,272200,178400,525105,65540,1953,1960
Carlow,115,HACKETSTOWN RECTORY,182,297600,180500,525200,63300,1910,1944
Carlow,4214,CARLOW (AGR.RES.STN.),55,272600,177900,525050,65520,1960,1968
Carlow,3614,GRAIGUENAMANAGH,27,271100,143100,523205,65705,1951,1998
Carlow,3315,BUNCLODY(CARRICKDUFF)G.S.,61,290500,157000,523925,63945,1973,1984
Carlow,3115,TULLOW (HARDYMOUNT HSE.),79,284000,172500,524750,64515,1963,1965
Carlow,9914,M.BLACKSTAIRS MTNS.(KNOCKROE),539,282000,149800,523535,64725,1950,2000
Carlow,6114,POLLMOUNTY FISH FARM,24,274500,135545,522800,65410,1987,
Carlow,2214,LEIGHLINBRIDGE G.S.,56,268900,165200,524400,65850,1944,1984
Carlow,514,CARLOW (BROWNE'S HILL),55,275400,175800,524940,65250,1866,1959
Carlow,1414,BAGENALSTOWN (FENAGH HSE.),106,277400,161300,524150,65120,1866,1986
Carlow,6014,CLASHGANNA MILLS,27,273800,146200,523345,65440,1987,1989
Carlow,375,OAK PARK,62,273000,179500,525140,65455,2003,
Carlow,5914,BAGENALSTOWN (KILDREENAGH),128,274900,163400,524259,65330,1985,2001
Carlow,4515,TULLOW (Ardoyne Glebe),79,288200,169800,524619,64136,1985,
Carlow,1014,GLYNN G.S.,50,274400,139100,522955,65415,1946,1960
Carlow,5314,BAGENALSTOWN (FENAGH II),104,277700,161500,524157,65104,1982,1989
Carlow,4814,CARLOW (Oak Park),61,273000,179500,525140,65455,1967,1996
Carlow,7414,BORRIS,86,272508,150661,523610,65550,1890,1895
Carlow,6214,BAGENALSTOWN (RATHELLIN),52,270000,163500,524305,65750,1990,1993
Carlow,2015,RATHVILLY G.S.,122,288000,181700,525245,64135,1949,1988
Carlow,515,TULLOW (MT.ST.JOSEPH'S),79,285800,171800,524725,64340,1949,1960
Carlow,2115,HACKETSTOWN (Voc.Sch.),189,297500,179900,525140,63310,1949,
Carlow,1815,BALLON G.S.,82,282900,166500,524435,64620,1949,1980
Carlow,6914,GARRYHILL (MILLTOWN),107,278600,158700,524026,65015,2003,2005
Carlow,2114,CARLOW (TRANS.STN.),55,271300,176700,525010,65630,1944,1971
Cavan,9937,M.SWANLINBAR FOREST,183,220700,321700,540838,74100,1995,1999
Cavan,2637,COOTEHILL (VOC.SCH.),107,259800,314500,540435,70510,1951,1968
Cavan,738,KINGSCOURT G.S.,105,278600,295900,535425,64815,1943,1988
Cavan,237,BALLYCONNELL G.S.,55,227400,319000,540710,73450,1942,1959
Cavan,2431,BAILIEBORO' G.S.,162,267700,296900,535500,65810,1944,1966
Cavan,637,CROSSDONEY (KEVIT CASTLE),64,238200,301200,535730,72505,1923,1975
Cavan,631,VIRGINIA (FOR.STN.),96,258100,287800,535010,70700,1942,1950
Cavan,2937,BALLINAGH G.S.,93,238900,298400,535600,72425,1951,1968
Cavan,1330,FINEA (MAUGHERA HATCHERIES),70,241500,284000,534815,72210,1956,1972
Cavan,1437,REDHILLS G.S.,66,244700,317300,540610,71900,1942,2000
Cavan,737,BALLYHAISE (AGR.COLL.),67,245200,311600,540305,71835,1923,2005
Cavan,3037,SWANLINBAR,69,219400,327500,541145,74210,1942,2018
Cavan,1431,MULLAGH G.S.,107,269600,285100,534840,65635,1942,1989
Cavan,1337,CAVAN (TRANS.STN.),88,242100,305500,535950,72130,1942,1987
Cavan,675,BALLYHAISE,78,245200,311600,540305,71835,2003,
Cavan,3131,VIRGINIA G.S.,91,260400,287500,535000,70455,1951,1990
Cavan,3631,BAILIEBORO' CASTLE,152,266200,298100,535540,65930,1958,1973
Cavan,3437,COOTEHILL (COMP. SCH.),98,261100,313800,540410,70400,1968,1969
Cavan,430,BALLYJAMESDUFF G.S.,110,252300,290800,535150,71220,1942,1984
Cavan,1737,GOWNA (SALLAGHAN BRIDGE),76,232700,293100,535310,73010,1944,1973
Cavan,837,SHERCOCK G.S.,110,272100,305900,535950,65400,1942,1987
Cavan,4337,CAVAN LORETO COLLEGE,64,241200,307200,540045,72218,1985,2011
Cavan,4037,LOUGH GOWNA (GLENBROOK),91,231200,292100,535240,73130,1973,2009
Cavan,4031,BAILIEBORO (Duneena),158,264460,299820,535638,70109,1973,
Cavan,1530,LAVAGH (BALLYHEELAN),90,244100,286700,534940,71950,1972,1977
Cavan,4137,CAVAN (Drumconnick),88,239685,305290,535944,72344,1984,2019
Cavan,4131,BAILIEBORO (Leiter),155,264850,298560,535557,70048,1973,
Cavan,4437,KILNALECK (Omard),119,243600,290000,535126,72014,1985,1996
Cavan,437,KILLESHANDRA G.S.,64,231000,307400,540055,73140,1951,1959
Cavan,4637,BALLYCONNELL (Mullaghduff),84,228200,317700,540626,73408,1985,
Cavan,4537,KILLESHANDRA TOWN LAKE,61,231100,308200,540120,73129,1985,2000
Cavan,4837,COOTEHILL (VICARS HILL),91,258500,312000,540314,70625,1992,1994
Cavan,337,BLACKLION G.S.,65,208000,338100,541730,75240,1942,1961
Cavan,5037,BELTURBET (Naughan),76,236700,320700,540802,72620,1993,
Cavan,4937,COOTEHILL (Mountain Lodge),189,258300,303300,535833,70643,1993,1993
Cavan,1930,KILNALECK TULLYBOY CROSSERLOUGH,119,246000,288700,535046,71805,1987,1989
Cavan,5431,VIRGINIA (MURMOD),122,260600,289100,535052,70447,2001,2007
Cavan,5137,ARVA (KILGARVE),76,227700,295300,535424,73440,1995,1996
Cavan,537,STRADONE PARK,82,250100,304200,535905,71410,1952,1959
Cavan,5837,KILLESHANDRA (Bawn),72,230000,306900,540036,73234,2000,2019
Cavan,1937,BELTURBET (VOC.SCH.),70,236500,316900,540600,72630,1944,1989
Cavan,5637,TULLYCO (Artonagh),140,254260,306235,540009,71024,2000,
Cavan,5885,KILCOGY_WWTP,94,238030,287225,535000,72523,2019,
Cavan,2037,CUILCAGH MTNS.,290,212990,324125,540957,74805,1944,
Cavan,2030,BALLYJAMESDUFF (Kilcully),125,252600,290200,535130,71203,1997,
Cavan,1037,TULLYVIN G.S.,79,256200,311500,540300,70830,1942,1983
Cavan,6031,VIRGINIA,94,260855,287605,535004,70435,2007,
Cavan,530,FINEA G.S.,68,240100,281400,534650,72330,1944,1984
Cavan,6537,TULLYVIN_(Cornabragher),91,256900,311400,540255,70752,2012,2013
Cavan,6337,ARVAGH (Cormore),131,230200,295800,535438,73223,2010,
Cavan,6637,KILLESHANDRA-Drumroosk,64,231350,305700,535959,73122,2019,
Cavan,6737,CLOVERHILL,62,243135,315105,540500,72030,1896,1933
Cavan,7985,Loughan_House,73,205480,337795,541720,75460,2020,
Cavan,1137,KILNALECK G.S.,113,244800,290100,535130,71910,1942,1986
Cavan,329,GLENGEVLIN G.S.,150,207100,327300,541140,75330,1928,1963
Clare,1218,TULLA,57,148865,179955,525206,84536,1943,
Clare,1217,DOONBEG,12,97700,165600,524354,93050,1984,2001
Clare,2519,MOUNTSHANNON G.S.,34,171200,186900,525555,82540,1943,1989
Clare,2518,CRUSHEEN (Cloonawillin),46,139960,183120,525345,85334,2007,
Clare,2618,CRUSHEEN (Ballinruan),177,144850,187075,525555,84915,2014,
